No_Wj,Author,Title,Site,CUE,PFT,PFT,Latitude,longitude,tmp(℃),pre (mm),Substrate,Chemical formula,γs,Substrate,Substrate,Amount (ug),note,Incubation Time (day/h),Temperature(℃),Method,Other treatment,subtreatment,Soil horizon(cm),pH,C/N,CUE%,Error,Data location,Calculation method
119,,,,0.58 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glucose,,4.00 ,glucose,glucose,,,24h,20.00 ,,,dry-rewtting:15(7d),,6.50 ,,,,Fig9,Eq. 3
120,,,,0.38 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,Oak soil,35%WHC (1d),,6.00 ,,,,Fig9,Eq. 3
121,,,,0.43 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,35%WHC unstressed,,6.00 ,,,,Fig9,Eq. 3
122,,,,0.35 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,50%WHC (1d),,6.00 ,,,,Fig9,Eq. 3
123,,,,0.38 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,50%WHC unstressed,,6.00 ,,,,Fig9,Eq. 3
124,,,,0.33 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,dry-rewtting:1(1d),,6.00 ,,,,Fig9,Eq. 3
125,,,,0.43 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,dry-rewtting:1(7d),,6.00 ,,,,Fig9,Eq. 3
126,,,,0.36 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,dry-rewtting:2(1d),,6.00 ,,,,Fig9,Eq. 3
127,,,,0.47 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,dry-rewtting:2(7d),,6.00 ,,,,Fig9,Eq. 3
128,,,,0.38 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,dry-rewtting:6(1d),,6.00 ,,,,Fig9,Eq. 3
129,,,,0.50 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,dry-rewtting:6(7d),,6.00 ,,,,Fig9,Eq. 3
130,,,,0.36 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,dry-rewtting:15(1d),,6.00 ,,,,Fig9,Eq. 3
131,,,,0.49 ,2,Evergreen Broadleaf Forest,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,dry-rewtting:15(7d),,6.00 ,,,,Fig9,Eq. 3
132,,,,0.36 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,Grass soil,35%WHC (1d),,6.50 ,,,,Fig9,Eq. 3
133,,,,0.25 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,35%WHC unstressed,,6.50 ,,,,Fig9,Eq. 3
134,,,,0.34 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,50%WHC (1d),,6.50 ,,,,Fig9,Eq. 3
135,,,,0.26 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,50%WHC unstressed,,6.50 ,,,,Fig9,Eq. 3
136,,,,0.35 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,dry-rewtting:1(1d),,6.50 ,,,,Fig9,Eq. 3
137,,,,0.26 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,dry-rewtting:1(7d),,6.50 ,,,,Fig9,Eq. 3
138,,,,0.34 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,dry-rewtting:2(1d),,6.50 ,,,,Fig9,Eq. 3
139,,,,0.27 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,dry-rewtting:2(7d),,6.50 ,,,,Fig9,Eq. 3
140,,,,0.39 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,dry-rewtting:6(1d),,6.50 ,,,,Fig9,Eq. 3
141,,,,0.28 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,dry-rewtting:6(7d),,6.50 ,,,,Fig9,Eq. 3
142,,,,0.37 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,dry-rewtting:15(1d),,6.50 ,,,,Fig9,Eq. 3
143,,,,0.26 ,10,Grasslands,34.71 ,-120.04 ,14.82 ,43.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,24h,20.00 ,,,dry-rewtting:15(7d),,6.50 ,,,,Fig9,Eq. 3
144,Shen,Metabolic Efficiency and Turnover of Soil Microbial Communities in Biodegradation Tests,not mentioned,0.66 ,,,1.00 ,1.00 ,,,glucose,,4.00 ,glucose,glucose,different amount,,14 d,27.00 ,Biomass-based methods,,low glucose concentration,,5.80 ,,,,article,Directly extracted
145,,,,0.47 ,,,1.00 ,1.00 ,,,glucose,,4.00 ,glucose,glucose,different amount,,14 d,27.00 ,,,high glucose concentration,,5.80 ,,,,article,Directly extracted
146,Jiang,"Controls and dynamics of biochar decomposition and soil microbial abundance, composition, and carbon use efficiency during long-term biochar-amended soil incubations",Colorado (40.7° N 104.8°W),0.54 ,12,need search,40.70 ,-104.80 ,9.60 ,323.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,8.70 ,,,,Fig5,Directly extracted
147,,,Colorado (40.7° N 104.8°W),0.69 ,12,need search,40.70 ,-104.80 ,9.60 ,323.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,8.70 ,,,,Fig5,Directly extracted
148,,,Colorado (40.7° N 104.8°W),0.55 ,12,need search,40.70 ,-104.80 ,9.60 ,323.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,8.70 ,,,,Fig5,Directly extracted
149,,,Colorado (40.7° N 104.8°W),0.58 ,12,need search,40.70 ,-104.80 ,9.60 ,323.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,8.70 ,,,,Fig5,Directly extracted
150,,,Colorado (40.7° N 104.8°W),0.56 ,12,need search,40.70 ,-104.80 ,9.60 ,323.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,8.70 ,,,,Fig5,Directly extracted
151,,,Iowa (41.5° N 84.1°W),0.54 ,12,Croplands,41.50 ,-84.10 ,10.60 ,541.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,8.50 ,,,,Fig5,Directly extracted
152,,,Iowa (41.5° N 84.1°W),0.55 ,12,Croplands,41.50 ,-84.10 ,10.60 ,541.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,8.50 ,,,,Fig5,Directly extracted
153,,,Iowa (41.5° N 84.1°W),0.70 ,12,Croplands,41.50 ,-84.10 ,10.60 ,541.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,8.50 ,,,,Fig5,Directly extracted
154,,,Iowa (41.5° N 84.1°W),0.57 ,12,Croplands,41.50 ,-84.10 ,10.60 ,541.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,8.50 ,,,,Fig5,Directly extracted
155,,,Iowa (41.5° N 84.1°W),0.55 ,12,Croplands,41.50 ,-84.10 ,10.60 ,541.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,8.50 ,,,,Fig5,Directly extracted
156,,,Michigan (42.5° N 85.5°W),0.56 ,12,Croplands,42.50 ,-85.50 ,8.50 ,788.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,8.30 ,,,,Fig5,Directly extracted
157,,,Michigan (42.5° N 85.5°W),0.52 ,12,Croplands,42.50 ,-85.50 ,8.50 ,788.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,8.30 ,,,,Fig5,Directly extracted
158,,,Michigan (42.5° N 85.5°W),0.67 ,12,Croplands,42.50 ,-85.50 ,8.50 ,788.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,8.30 ,,,,Fig5,Directly extracted
159,,,Michigan (42.5° N 85.5°W),0.56 ,12,Croplands,42.50 ,-85.50 ,8.50 ,788.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,8.30 ,,,,Fig5,Directly extracted
160,,,Michigan (42.5° N 85.5°W),0.55 ,12,Croplands,42.50 ,-85.50 ,8.50 ,788.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,8.30 ,,,,Fig5,Directly extracted
161,,,Minnesota (42.4° N 96.4°W),0.55 ,12,Croplands,42.40 ,-96.40 ,8.90 ,660.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,6.60 ,,,,Fig5,Directly extracted
162,,,Minnesota (42.4° N 96.4°W),0.69 ,12,Croplands,42.40 ,-96.40 ,8.90 ,660.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,6.60 ,,,,Fig5,Directly extracted
163,,,Minnesota (42.4° N 96.4°W),0.53 ,12,Croplands,42.40 ,-96.40 ,8.90 ,660.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,6.60 ,,,,Fig5,Directly extracted
164,,,Minnesota (42.4° N 96.4°W),0.57 ,12,Croplands,42.40 ,-96.40 ,8.90 ,660.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,6.60 ,,,,Fig5,Directly extracted
165,,,Minnesota (42.4° N 96.4°W),0.55 ,12,Croplands,42.40 ,-96.40 ,8.90 ,660.00 ,glucose,,4.00 ,glucose,glucose,800 ug g-1 soil,,8 h,25.00 ,Uptake-based methods,,,,6.60 ,,,,Fig5,Directly extracted
166,Kallenbach,Microbial physiology and necromass regulate agricultural soil carbon accumulation,"W.K. Kellogg Biological Station (KBS) Long-Term Ecological Research Site in Hickory Cor- ners, MI (42o24'N, 85o23'W, 288M elevation",0.47 ,12,Croplands,42.40 ,-85.38 ,8.82 ,1027.00 ,glutamic acid,,3.60 ,organic acid,amino acid,50 ug C g-1 dry soil,,22 h,25.00 ,Biomass-based methods,Conventional,1/09/2013,,,,0.02 ,,Fig1 ,Directly extracted
167,,,,0.22 ,12,Croplands,42.40 ,-85.38 ,8.82 ,1027.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,22 h,25.00 ,,,1/06/2014,,,,0.02 ,,Fig1 ,Directly extracted
168,,,,0.16 ,12,Croplands,42.40 ,-85.38 ,8.82 ,1027.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,22 h,25.00 ,,,1/09/2014,,,,0.01 ,,Fig1,Directly extracted
169,,,,0.55 ,12,Croplands,42.40 ,-85.38 ,8.82 ,1027.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,22 h,25.00 ,,Organic,1/09/2013,,,,0.01 ,,Fig1,Directly extracted
170,,,,0.30 ,12,Croplands,42.40 ,-85.38 ,8.82 ,1027.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,22 h,25.00 ,,,1/06/2014,,,,0.01 ,,Fig1,Directly extracted
171,,,,0.29 ,12,Croplands,42.40 ,-85.38 ,8.82 ,1027.00 ,glutamic acid,,3.60 ,organic acid,amino acid,,,22 h,25.00 ,,,1/09/2014,,,,0.01 ,,Fig1,Directly extracted
172,Keiblinger,The effectof resource quantity and resource stoichiometry on microbial carbon-use-efficiency,,0.41 ,10,Grasslands,42.40 ,-85.38 ,8.82 ,1027.00 ,"glucose,",,4.00 ,glucose,glucose,0.015 M,,0.5 h,22.00 ,Biomass-based methods,,bacteria,,,,,,Fig3 ,Directly extracted
173,,,,0.55 ,10,Grasslands,42.40 ,-85.38 ,8.82 ,1027.00 ,"glucose,",,4.00 ,glucose,glucose,0.057 M,,0.5 h,22.00 ,,,fungal,,,,,,Fig3 ,Directly extracted
174,Koranda,Seasonal variation in functional properties of microbial communities in beech forest soil,"40 km southwest of Vienna (48o7' N, 16o3' E, 510 m a.s.l.)",0.14 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,glucose,,4.00 ,glucose,glucose,1 mg substrate g-1 soil ,,2 d,12.00 ,Biomass-based methods,winter,glucose,,,,,,Fig3 b,Directly extracted
175,,,,0.31 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,protein,,,high-molecular compound,high-molecular compound,1 mg substrate g-1 soil ,,2 d,12.00 ,,winter,protein,,,,,,Fig3 b,Directly extracted
176,,,,0.44 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,microbial cell walls,,,high-molecular compound,high-molecular compound,4 mg substrate g-1 soil ,,6 d,12.00 ,,winter,microbial cell walls,,,,,,Fig3 b,Directly extracted
177,,,,0.25 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,cellulose,,4.00 ,high-molecular compound,high-molecular compound,4 mg substrate g-1 soil ,,6 d,12.00 ,,winter,cellulose,,,,,,Fig3 b,Directly extracted
178,,,,0.44 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,plant cell walls,,,high-molecular compound,high-molecular compound,4 mg substrate g-1 soil ,,6 d,12.00 ,,winter,plant cell walls,,,,,,Fig3 b,Directly extracted
179,,,,0.24 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,glucose,,4.00 ,glucose,glucose,1 mg substrate g-1 soil ,,2 d,12.00 ,,summer,glucose,,,,,,Fig3 b,Directly extracted
180,,,,0.40 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,protein,,,high-molecular compound,high-molecular compound,1 mg substrate g-1 soil ,,2 d,12.00 ,,summer,protein,,,,,,Fig3 b,Directly extracted
181,,,,0.48 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,microbial cell walls,,,high-molecular compound,high-molecular compound,4 mg substrate g-1 soil ,,6 d,12.00 ,,summer,microbial cell walls,,,,,,Fig3 b,Directly extracted
182,,,,0.18 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,cellulose,,4.00 ,high-molecular compound,high-molecular compound,4 mg substrate g-1 soil ,,6 d,12.00 ,,summer,cellulose,,,,,,Fig3 b,Directly extracted
183,,,,0.35 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,plant cell walls,,,high-molecular compound,high-molecular compound,4 mg substrate g-1 soil ,,6 d,12.00 ,,summer,plant cell walls,,,,,,Fig3 b,Directly extracted
184,,,,0.31 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,cellulose+N,,,high-molecular compound,high-molecular +N,4 mg substrate g-1 soil ,,6 d,12.00 ,,summer,cellulose+N,,,,,,Fig3 b,Directly extracted
185,,,,0.22 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,plant cell walls+N,,,high-molecular compound,high-molecular +N,4 mg substrate g-1 soil ,,6 d,12.00 ,,summer,plant cell walls+N,,,,,,Fig3 b,Directly extracted
186,,,,0.25 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,glucose,,4.00 ,glucose,glucose,4 mg substrate g-1 soil ,,2 d,12.00 ,,summer-girdling,glucose,,,,,,Fig3 b,Directly extracted
187,,,,0.36 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,protein,,,high-molecular compound,high-molecular compound,4 mg substrate g-1 soil ,,2 d,12.00 ,,summer-girdling,protein,,,,,,Fig3 b,Directly extracted
188,,,,0.43 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,microbial cell walls,,,high-molecular compound,high-molecular compound,4 mg substrate g-1 soil ,,6 d,12.00 ,,summer-girdling,microbial cell walls,,,,,,Fig3 b,Directly extracted
189,,,,0.25 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,cellulose,,4.00 ,high-molecular compound,high-molecular compound,4 mg substrate g-1 soil ,,6 d,12.00 ,,summer-girdling,cellulose,,,,,,Fig3 b,Directly extracted
190,,,,0.20 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,plant cell walls,,,high-molecular compound,high-molecular compound,4 mg substrate g-1 soil ,,6 d,12.00 ,,summer-girdling,plant cell walls,,,,,,Fig3 b,Directly extracted
191,,,,0.34 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,cellulose+N,,,high-molecular compound,high-molecular +N,4 mg substrate g-1 soil ,,6 d,12.00 ,,summer-girdling,cellulose+N,,,,,,Fig3 b,Directly extracted
192,,,,0.15 ,4,Deciduous Broadleaf Forest,48.12 ,16.05 ,7.88 ,61.17 ,plant cell walls+N,,,high-molecular compound,high-molecular +N,4 mg substrate g-1 soil ,,6 d,12.00 ,,summer-girdling,plant cell walls+N,,,,,,Fig3 b,Directly extracted
193,Lee,Bacterial growth efficiency varies in soils under different land management practices,"southwest Michigan in the eastern portion of the U.S. cornbelt, 50 km east of Lake Michigan in the SW corner of the state (42° 24′ N, 85° 24′ W, elevation 288 m)",0.29 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Apr,,5.50 ,,,0.04 ,"Fig2,",Directly extracted
194,,,,0.48 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,May,,5.50 ,,,0.03 ,"Fig2,",Directly extracted
195,,,,0.43 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,June,,5.50 ,,,0.02 ,"Fig2,",Directly extracted
196,,,,0.37 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,July,,5.50 ,,,0.02 ,"Fig2,",Directly extracted
197,,,,0.31 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Aug,,5.50 ,,,0.02 ,"Fig2,",Directly extracted
198,,,,0.50 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Oct,,5.50 ,,,0.05 ,"Fig2,",Directly extracted
199,,,,0.32 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Dec,,5.50 ,,,0.02 ,"Fig2,",Directly extracted
200,,,,0.31 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Apr,,5.50 ,,,0.07 ,"Fig2,",Directly extracted
201,,,,0.33 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,May,,5.50 ,,,0.05 ,"Fig2,",Directly extracted
202,,,,0.38 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,June,,5.50 ,,,0.03 ,"Fig2,",Directly extracted
203,,,,0.37 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,July,,5.50 ,,,0.06 ,"Fig2,",Directly extracted
204,,,,0.37 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Aug,,5.50 ,,,0.03 ,"Fig2,",Directly extracted
205,,,,0.34 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Oct,,5.50 ,,,0.05 ,"Fig2,",Directly extracted
206,,,,0.32 ,4,Deciduous Broadleaf Forest,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Dec,,5.50 ,,,0.05 ,"Fig2,",Directly extracted
207,,,,0.43 ,16,Barren or Sparsely Vegetated,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Barren,,5.50 ,,,,"Fig1 ,",Directly extracted
208,,,,0.52 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Soybean,,5.50 ,,,,"Fig1 ,",Directly extracted
209,,,,0.43 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Forest,,5.50 ,,,,Fig5,Directly extracted
210,,,,0.45 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Forest,,5.50 ,,,,Fig5,Directly extracted
211,,,,0.42 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Forest,,5.50 ,,,,Fig5,Directly extracted
212,,,,0.35 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Forest,,5.50 ,,,,Fig5,Directly extracted
213,,,,0.32 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Forest,,5.50 ,,,,Fig5,Directly extracted
214,,,,0.41 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Forest,,5.50 ,,,,Fig5,Directly extracted
215,,,,0.43 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Forest,,5.50 ,,,,Fig5,Directly extracted
216,,,,0.35 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Forest,,5.50 ,,,,Fig5,Directly extracted
217,,,,0.45 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Forest,,5.50 ,,,,Fig5,Directly extracted
218,,,,0.40 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Forest,,5.50 ,,,,Fig5,Directly extracted
219,,,,0.35 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Forest,,5.50 ,,,,Fig5,Directly extracted
220,,,,0.34 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Forest,,5.50 ,,,,Fig5,Directly extracted
221,,,,0.37 ,12,Croplands,42.40 ,-85.40 ,10.10 ,1005.00 ,3H-leucine,,5.00 ,organic acid,amino acid," 250 nCi, 109 Ci/mmol",,24 h,25.00 ,Biomass-based methods,,Forest,,5.50 ,,,,Fig5,Directly extracted
